10	11
20	13
30	13
40	15
50	17
60	15
70	19
80	17
90	22
100	33
110	17
120	19
130	17
140	19
150	32
160	29
170	31
180	29
190	19
200	23
210	19
220	21
230	35
240	27
250	26
260	35
270	31
280	31
290	35
300	29
310	40
320	21
330	26
340	27
350	24
360	31
370	35
380	21
390	26
400	19
410	25
420	21
430	39
440	31
450	23
460	23
470	37
480	21
490	36
500	26
510	37
520	21
530	37
540	23
550	23
560	35
570	28
580	21
590	25
600	37
610	35
620	28
630	28
640	23
650	23
660	36
670	23
680	25
690	23
700	26
710	25
720	25
730	31
740	23
750	31
760	28
770	21
780	30
790	29
800	42
810	28
820	28
830	31
840	25
850	21
860	23
870	21
880	26
890	31
900	42
910	23
920	35
930	35
940	39
950	25
960	39
970	39
980	35
990	41
1000	38
1010	36
1020	30
1030	25
1040	31
1050	33
1060	28
1070	28
1080	39
1090	30
1100	25
1110	25
1120	25
1130	25
1140	27
1150	41
1160	28
1170	25
1180	41
1190	28
1200	39
1210	26
1220	25
1230	25
1240	25
1250	30
1260	27
1270	30
1280	41
1290	36
1300	33
1310	25
1320	39
1330	23
1340	25
1350	43
1360	28
1370	32
1380	32
1390	42
1400	33
1410	43
1420	25
1430	36
1440	40
1450	41
1460	27
1470	30
1480	32
1490	32
1500	23
1510	35
1520	35
1530	37
1540	40
1550	27
1560	28
1570	33
1580	25
1590	30
1600	35
1610	40
1620	39
1630	27
1640	29
1650	28
1660	46
1670	27
1680	25
1690	32
1700	41
1710	30
1720	27
1730	33
1740	41
1750	30
1760	44
1770	28
1780	39
1790	25
1800	40
1810	35
1820	39
1830	29
1840	43
1850	25
1860	30
1870	25
1880	32
1890	27
1900	30
1910	35
1920	25
1930	30
1940	38
1950	28
1960	35
1970	42
1980	28
1990	29
2000	39
2010	40
2020	27
2030	41
2040	40
2050	40
2060	30
2070	30
2080	25
2090	27
2100	25
2110	33
2120	39
2130	33
2140	39
2150	25
2160	27
2170	25
2180	40
2190	33
2200	25
2210	41
2220	38
2230	30
2240	37
2250	35
2260	32
2270	34
2280	33
2290	30
2300	27
2310	38
2320	27
2330	25
2340	41
2350	30
2360	25
2370	27
2380	38
2390	30
2400	39
2410	28
2420	28
2430	38
2440	39
2450	43
2460	27
2470	40
2480	31
2490	31
2500	27
2510	28
2520	41
2530	29
2540	23
2550	31
2560	43
2570	29
2580	39
2590	32
2600	45
2610	46
2620	25
2630	25
2640	37
2650	29
2660	29
2670	39
2680	46
2690	41
2700	27
2710	35
2720	35
2730	45
2740	37
2750	41
2760	41
2770	31
2780	30
2790	29
2800	38
2810	25
2820	25
2830	25
2840	45
2850	25
2860	35
2870	27
2880	34
2890	27
2900	29
2910	39
2920	32
2930	39
2940	32
2950	39
2960	43
2970	41
2980	31
2990	30
3000	29
3010	29
3020	31
3030	30
3040	29
3050	31
3060	32
3070	39
3080	29
3090	29
3100	40
3110	31
3120	37
3130	27
3140	29
3150	47
3160	29
3170	37
3180	27
3190	29
3200	29
3210	40
3220	32
3230	27
3240	29
3250	34
3260	25
3270	27
3280	42
3290	27
3300	29
3310	31
3320	31
3330	27
3340	41
3350	27
3360	37
3370	27
3380	40
3390	23
3400	29
3410	39
3420	27
3430	39
3440	29
3450	27
3460	39
3470	41
3480	27
3490	30
3500	51
3510	29
3520	39
3530	32
3540	45
3550	27
3560	29
3570	46
3580	32
3590	27
3600	44
3610	40
3620	43
3630	41
3640	27
3650	25
3660	28
3670	29
3680	27
3690	27
3700	46
3710	27
3720	31
3730	43
3740	31
3750	51
3760	46
3770	43
3780	37
3790	29
3800	32
3810	27
3820	39
3830	30
3840	37
3850	48
3860	39
3870	39
3880	46
3890	48
3900	29
3910	45
3920	41
3930	36
3940	28
3950	32
3960	43
3970	45
3980	47
3990	41
4000	41
4010	29
4020	45
4030	41
4040	36
4050	28
4060	44
4070	46
4080	29
4090	29
4100	46
4110	46
4120	47
4130	35
4140	29
4150	32
4160	31
4170	34
4180	27
4190	34
4200	39
4210	29
4220	31
4230	41
4240	37
4250	35
4260	41
4270	34
4280	41
4290	39
4300	45
4310	29
4320	34
4330	32
4340	31
4350	43
4360	45
4370	27
4380	41
4390	39
4400	30
4410	25
4420	27
4430	31
4440	43
4450	28
4460	32
4470	35
4480	43
4490	34
4500	35
4510	50
4520	31
4530	48
4540	37
4550	29
4560	29
4570	41
4580	39
4590	43
4600	31
4610	27
4620	37
4630	37
4640	43
4650	41
4660	36
4670	29
4680	29
4690	44
4700	41
4710	31
4720	37
4730	41
4740	29
4750	39
4760	27
4770	37
4780	27
4790	31
4800	41
4810	48
4820	29
4830	37
4840	41
4850	29
4860	39
4870	39
4880	36
4890	27
4900	41
4910	45
4920	41
4930	32
4940	27
4950	39
4960	37
4970	31
4980	34
4990	39
5000	43
5010	34
5020	45
5030	29
5040	37
5050	38
5060	48
5070	42
5080	29
5090	54
5100	43
5110	37
5120	33
5130	42
5140	31
5150	44
5160	43
5170	36
5180	31
5190	30
5200	33
5210	39
5220	41
5230	43
5240	29
5250	34
5260	37
5270	38
5280	41
5290	33
5300	37
5310	48
5320	32
5330	43
5340	31
5350	47
5360	39
5370	32
5380	34
5390	42
5400	39
5410	39
5420	43
5430	45
5440	41
5450	31
5460	34
5470	29
5480	29
5490	47
5500	44
